facility_id,billing_date,customer_id,customer_name,contract_type,rack_count,power_allocation_kw,monthly_rate_usd,daily_revenue_usd,contract_start_date,contract_end_date,invoice_status,report_source
DAL-02,2026-05-10,94a83487-14f2-4cf7-bd1b-ab53ccf79732,"Blackwell, Howard and Smith",cloud,3,8.36,6279.16,209.31,2024-09-22,2028-01-11,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-10,9aa6f582-a304-4ca9-9a53-30f0a5eeaa30,"Weber, Dean and Salazar",wholesale,29,174.94,64081.43,2136.05,2024-12-24,2026-07-31,overdue,ERP_BILLING_EXPORT
DAL-02,2026-05-10,b533da98-fc7a-4d70-89b3-570beeceb14d,Kaufman-Kelley,wholesale,16,129.84,32735.33,1091.18,2023-11-24,2028-11-10,overdue,ERP_BILLING_EXPORT
DAL-02,2026-05-10,0ebd9ccd-fe39-420f-b2b4-e80f7be400e6,"Young, Young and Anderson",cloud,33,126.45,39734.17,1324.47,2025-03-14,2028-12-28,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-10,f789cc7b-cf19-45af-bf0f-5cc2fefb2eb2,Turner-Watson,colocation,45,203.47,107832.25,3594.41,2023-05-11,2028-01-01,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-10,e75daf44-8a99-4820-823a-ffe37b3576c6,"Patterson, Wilson and Tyler",colocation,20,136.48,45869.17,1528.97,2025-11-29,2028-07-26,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-10,6caf3272-b795-4e14-8bea-b7f62faf558e,"Alexander, Nelson and Singh",colocation,34,253.76,58084.46,1936.15,2025-10-16,2027-08-30,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-10,01abea1f-6b13-4102-8c43-4131a8f565f8,Johnson-Roberts,colocation,1,2.65,2420.7,80.69,2024-08-19,2026-07-21,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-10,011c0530-c3a6-4bd7-a3a5-385825902cb2,Mendez-Mckay,wholesale,26,131.08,33216.39,1107.21,2025-11-21,2028-06-25,overdue,ERP_BILLING_EXPORT
DAL-02,2026-05-10,f79f8c8f-30cb-4d88-9569-7eafa8a95f08,"Blackwell, Howard and Smith",wholesale,31,191.24,48876.05,1629.2,2025-05-19,2027-10-13,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,1fc7d180-4780-4de7-b5a0-18b4eeb80b76,Carr Ltd,wholesale,5,42.8,11868.04,395.6,2024-04-16,2028-12-26,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,c227a942-0a28-4ca3-a905-1e413966499f,Reeves-Campbell,cloud,34,311.32,57325.75,1910.86,2024-06-28,2028-03-23,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,10290eae-8690-47be-9517-bbcd7e3001fe,Turner-Watson,colocation,40,265.35,57469.64,1915.65,2024-01-06,2026-09-05,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,64a274c9-63d3-498f-930c-bfb4bbb13b0a,"Klein, Rosales and Williams",colocation,5,22.46,9022.91,300.76,2024-01-23,2028-10-01,paid,ERP_BILLING_EXPORT
ATL-01,2026-05-10,27c5d631-06b6-49b0-bfae-c3d02741b121,"Watkins, Reyes and Reed",colocation,30,110.6,47659.07,1588.64,2024-07-31,2029-02-16,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-10,f961b44b-25a2-4ea2-81ef-3c767c70862f,"Blackwell, Howard and Smith",cloud,13,79.98,32134.68,1071.16,2023-09-06,2026-09-09,paid,ERP_BILLING_EXPORT
ATL-01,2026-05-10,3c798848-60d5-4136-b477-c3518caaaf23,Turner-Watson,wholesale,7,64.85,10830.54,361.02,2023-06-22,2027-12-03,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-10,bb33f5a5-5422-45c4-9495-71df72706522,Taylor PLC,cloud,42,354.78,37701.83,1256.73,2023-11-20,2028-07-07,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,f6ee9799-e5e8-4b22-90cc-cc84c4049cae,"Maxwell, Harris and Brown",wholesale,41,256.63,40229.16,1340.97,2026-03-19,2026-06-18,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-10,b018269b-dea0-41d9-8ec7-3305308a06f3,Hill PLC,cloud,47,116.82,45640.02,1521.33,2025-03-29,2028-12-24,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-10,ce06f8fd-1a4f-4fe5-ab4d-52d6a7ec3cf4,Turner-Watson,colocation,44,95.12,59367.28,1978.91,2023-11-11,2029-03-17,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-10,aad71718-3937-4a13-aff9-46b4201deacd,"Young, Young and Anderson",cloud,17,91.43,36370.03,1212.33,2026-03-08,2029-03-04,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-10,bf257c57-d77d-4732-85b2-3165b991c318,Lopez PLC,wholesale,39,236.54,63285.42,2109.51,2025-07-01,2027-03-24,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-10,62384fdf-de41-4064-886d-c7b49ccd0436,"Weber, Dean and Salazar",cloud,14,109.92,34421.67,1147.39,2026-03-03,2028-02-24,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-10,b62e83d3-120c-41eb-a6d2-901c4fe9eef1,Mendez-Mckay,cloud,14,91.57,22376.61,745.89,2026-02-11,2028-06-26,overdue,ERP_BILLING_EXPORT
CHI-01,2026-05-10,de2c3771-7c81-4529-8f83-0775c2601d71,"Alexander, Nelson and Singh",cloud,27,146.71,40841.94,1361.4,2026-01-04,2027-08-21,overdue,ERP_BILLING_EXPORT
CHI-01,2026-05-10,642404e0-8b74-4c64-be4c-1a58d2d31dae,"Weber, Dean and Salazar",cloud,18,150.16,25426.08,847.54,2025-12-22,2026-11-06,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-10,388a76db-edf9-452d-8683-830684cc6a87,"Evans, Parks and Stanley",colocation,8,78.58,14489.65,482.99,2023-10-15,2026-08-14,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-10,5a8a00d1-0cdd-4b8f-9d1f-86acc3de595a,"Mcfarland, Newman and Obrien",cloud,42,304.83,63741.11,2124.7,2024-10-05,2027-10-11,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-10,885f2285-4f59-435a-973d-098f6320b969,"Klein, Rosales and Williams",cloud,38,251.26,81878.92,2729.3,2024-04-12,2027-04-30,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-10,46089a5d-dfe1-4617-acfa-1924fd7a6949,Gonzalez PLC,colocation,19,154.7,20919.64,697.32,2024-02-20,2028-06-01,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-10,cd688a77-b010-4b07-a44c-d9ce34b7a650,"Blackwell, Howard and Smith",colocation,48,267.64,53019.36,1767.31,2025-10-05,2026-10-16,paid,ERP_BILLING_EXPORT
SEA-01,2026-05-10,58e42467-e1e9-4899-a8ae-96e2d31b6308,"Weber, Dean and Salazar",cloud,26,83.67,54437.39,1814.58,2023-06-24,2027-06-04,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-10,5aa57e02-b948-4606-a8af-844cf019ef51,Kaufman-Kelley,colocation,45,319.9,45326.98,1510.9,2024-04-17,2028-01-09,paid,ERP_BILLING_EXPORT
SEA-01,2026-05-10,3015909f-e086-4a30-8f6d-c9952f87df20,Mendez-Hopkins,wholesale,47,257.91,81667.1,2722.24,2025-06-27,2029-01-16,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-10,a9e2eae2-f0b0-4dd4-877d-41d8cc9aa772,Kaufman-Kelley,cloud,25,120.87,57905.62,1930.19,2025-02-09,2028-11-28,overdue,ERP_BILLING_EXPORT
SEA-01,2026-05-10,911c5d3e-ae59-4e92-89d9-e75fe7b78616,Carr Ltd,colocation,43,309.23,92121.59,3070.72,2024-10-08,2027-09-14,paid,ERP_BILLING_EXPORT
SEA-01,2026-05-10,e64fc1b5-8e04-4628-a5ca-2e5536883a3c,"Alexander, Nelson and Singh",wholesale,11,44.72,14201.69,473.39,2025-08-13,2028-05-07,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-10,bc381ee8-1005-49f6-a60d-5a3e8bff9a01,"Thomas, Raymond and Perez",cloud,11,83.8,15854.5,528.48,2024-12-26,2028-12-08,overdue,ERP_BILLING_EXPORT
SEA-01,2026-05-10,29784f19-7daf-4699-a6c0-ef46ab619409,Taylor PLC,wholesale,38,184.31,92980.21,3099.34,2025-05-25,2027-10-03,paid,ERP_BILLING_EXPORT
NYC-01,2026-05-10,15520b66-78e3-4cfa-a077-759c40f07ac8,Turner-Watson,cloud,41,197.27,56640.59,1888.02,2025-11-09,2028-07-02,overdue,ERP_BILLING_EXPORT
NYC-01,2026-05-10,33d82697-b6b4-4b5b-9658-0766d8cdb0e6,Taylor PLC,cloud,45,375.11,50037.79,1667.93,2025-05-25,2027-12-12,paid,ERP_BILLING_EXPORT
NYC-01,2026-05-10,7084a2b2-2e9e-40f4-8f40-c4066dc768bd,"Thomas, Raymond and Perez",cloud,42,202.33,101017.3,3367.24,2024-04-13,2028-02-25,overdue,ERP_BILLING_EXPORT
NYC-01,2026-05-10,b5220f1d-2157-40f8-8c4f-8a53927ae22f,Wade-York,colocation,34,318.14,28908.95,963.63,2025-03-08,2028-11-13,pending,ERP_BILLING_EXPORT
NYC-01,2026-05-10,9d6cd7a6-5b3b-403d-985c-026dce7f4c7d,Mendez-Hopkins,wholesale,18,157.04,28613.57,953.79,2025-02-24,2028-02-04,pending,ERP_BILLING_EXPORT
NYC-01,2026-05-10,70f90348-ae23-42ef-b73b-e45bf01d03e7,"Mcfarland, Newman and Obrien",cloud,40,242.8,48203.57,1606.79,2025-04-15,2026-08-16,paid,ERP_BILLING_EXPORT
NYC-01,2026-05-10,e5745c7d-288e-45ba-9cd5-344824e100fa,Carr Ltd,colocation,20,111.67,38205.47,1273.52,2024-07-22,2028-10-31,paid,ERP_BILLING_EXPORT
NYC-01,2026-05-10,1b372141-24d9-4240-a565-e7b978c68c46,"Blackwell, Howard and Smith",wholesale,18,118.96,33416.1,1113.87,2025-04-22,2027-03-25,paid,ERP_BILLING_EXPORT
NYC-01,2026-05-10,acd92eb2-fd12-47b0-bd58-f94ca8a933d5,"Young, Young and Anderson",colocation,38,79.72,86511.53,2883.72,2025-08-28,2027-09-28,pending,ERP_BILLING_EXPORT
NYC-01,2026-05-10,1ce2eca6-d8d4-4b36-8e07-b42968ede7e4,Moore Ltd,cloud,33,115.13,29493.67,983.12,2026-03-20,2027-01-27,pending,ERP_BILLING_EXPORT
LAX-01,2026-05-10,3c581068-6ab0-45cb-beee-ceca8937e19e,Hill PLC,wholesale,44,397.86,97830.5,3261.02,2025-07-16,2027-08-20,overdue,ERP_BILLING_EXPORT
LAX-01,2026-05-10,b24c2533-3762-4b7f-a755-17d15db7181c,Turner-Watson,wholesale,7,53.27,13608.21,453.61,2025-12-25,2026-12-10,overdue,ERP_BILLING_EXPORT
LAX-01,2026-05-10,1ea0426d-a4b3-4fbc-8704-403ee18206b0,Gonzalez PLC,wholesale,13,36.04,30761.71,1025.39,2024-04-16,2029-03-22,overdue,ERP_BILLING_EXPORT
LAX-01,2026-05-10,4d499176-97cd-49b6-bda0-ff0cf59ceef0,"Evans, Parks and Stanley",cloud,11,74.66,11325.13,377.5,2024-01-02,2028-05-30,paid,ERP_BILLING_EXPORT
LAX-01,2026-05-10,c1ef67cf-a814-48b8-b62c-f53856043b53,Ortiz-Koch,wholesale,49,422.41,98083.98,3269.47,2025-08-30,2029-02-11,pending,ERP_BILLING_EXPORT
LAX-01,2026-05-10,bc96dec3-db37-4072-ac90-e1d239bb62cf,Nichols-Horn,colocation,30,238.81,54666.16,1822.21,2025-10-25,2027-08-21,paid,ERP_BILLING_EXPORT
LAX-01,2026-05-10,0d8f8d53-1c5f-4a9c-bb61-170cc5a19956,"Klein, Rosales and Williams",colocation,37,222.08,83698.33,2789.94,2025-03-01,2027-03-19,pending,ERP_BILLING_EXPORT
LAX-01,2026-05-10,bd09b327-3212-490f-ae79-f94e0588d6f8,"Klein, Rosales and Williams",wholesale,26,198.27,34767.06,1158.9,2023-10-10,2028-02-21,overdue,ERP_BILLING_EXPORT
LAX-01,2026-05-10,ee03f395-3c9e-4e38-a8c2-0f7b1c1d98b3,"Patterson, Wilson and Tyler",cloud,1,5.34,2174.09,72.47,2024-08-16,2027-09-26,pending,ERP_BILLING_EXPORT
LAX-01,2026-05-10,2a94ade1-bf02-4569-bdcd-55c09819a621,Simpson Group,wholesale,37,341.55,60200.74,2006.69,2024-05-04,2027-09-28,pending,ERP_BILLING_EXPORT
MIA-01,2026-05-10,031bad4d-10f3-423c-b39d-3a070f6e7739,"Thomas, Raymond and Perez",wholesale,5,26.31,5444.34,181.48,2024-12-08,2027-01-01,overdue,ERP_BILLING_EXPORT
MIA-01,2026-05-10,28f6beae-ecdd-451a-bd80-561f7bfc5e02,Moore Ltd,cloud,4,9.49,6356.43,211.88,2025-03-25,2026-11-20,paid,ERP_BILLING_EXPORT
MIA-01,2026-05-10,e2cf0428-3673-4276-adef-65433ebdfc59,Gonzalez PLC,wholesale,41,172.96,94863.82,3162.13,2025-12-15,2028-12-22,paid,ERP_BILLING_EXPORT
MIA-01,2026-05-10,47b4efde-f980-4911-8c83-a321419016d4,Ortiz-Koch,cloud,22,166.65,44478.11,1482.6,2024-10-25,2026-07-27,pending,ERP_BILLING_EXPORT
MIA-01,2026-05-10,6f955797-9850-4e47-89d1-1de51a34064c,Turner-Watson,cloud,20,130.49,20984.51,699.48,2025-02-03,2026-12-25,overdue,ERP_BILLING_EXPORT
MIA-01,2026-05-10,89a7ef15-f7c4-46be-a64d-3e95260d6540,Turner-Watson,colocation,6,47.34,9166.68,305.56,2025-01-09,2027-06-01,pending,ERP_BILLING_EXPORT
MIA-01,2026-05-10,d98a182d-6d04-4f21-a861-b4322368ee77,Kaufman-Kelley,cloud,18,109.26,42840.95,1428.03,2025-08-30,2027-09-26,overdue,ERP_BILLING_EXPORT
MIA-01,2026-05-10,3d07fcad-d62b-4f76-a4ce-9f390b067201,"Harrison, Mitchell and Shah",wholesale,39,233.31,57359.38,1911.98,2025-08-02,2027-04-27,paid,ERP_BILLING_EXPORT
MIA-01,2026-05-10,47736821-00e8-4b7e-8f3e-59b6f649f636,"Patterson, Wilson and Tyler",cloud,2,10.45,3470.05,115.67,2026-03-13,2027-10-14,paid,ERP_BILLING_EXPORT
MIA-01,2026-05-10,a15dfe74-961f-47f8-8ec9-619679390cc9,Mendez-Mckay,wholesale,5,32.29,5628.31,187.61,2023-09-14,2028-02-08,overdue,ERP_BILLING_EXPORT
DEN-01,2026-05-10,a5a71c4c-3845-41cc-bde8-f0af1593a587,Gonzalez PLC,colocation,1,8.57,1182.92,39.43,2024-10-25,2028-01-18,paid,ERP_BILLING_EXPORT
DEN-01,2026-05-10,26f1a582-e82a-4abd-b20e-ddb9245e60b6,Carr Ltd,cloud,30,279.61,54804.43,1826.81,2023-12-02,2028-08-17,overdue,ERP_BILLING_EXPORT
DEN-01,2026-05-10,c7843bb2-0df3-4fd8-89e1-d67ef7926fb0,"Blackwell, Howard and Smith",cloud,25,200.76,42823.18,1427.44,2025-08-16,2028-04-23,pending,ERP_BILLING_EXPORT
DEN-01,2026-05-10,3a4da9ee-a5dd-4e09-8ac4-ade636d43c3a,Simpson Group,cloud,5,18.11,7852.26,261.74,2026-03-22,2027-07-24,overdue,ERP_BILLING_EXPORT
DEN-01,2026-05-10,cdb2ee65-4ea7-4a90-b417-232717dd7a5a,"Weber, Dean and Salazar",wholesale,28,114.62,67041.72,2234.72,2024-05-01,2028-03-12,paid,ERP_BILLING_EXPORT
DEN-01,2026-05-10,be0511bf-6b05-41d3-9379-5d0acd6ea52e,"Maxwell, Harris and Brown",wholesale,11,63.6,21821.23,727.37,2023-05-29,2029-02-19,pending,ERP_BILLING_EXPORT
DEN-01,2026-05-10,295f75a3-f5b7-4221-b1fc-21e99cfcc37a,Mendez-Mckay,colocation,45,364.94,41239.66,1374.66,2023-12-25,2026-10-20,paid,ERP_BILLING_EXPORT
DEN-01,2026-05-10,6dfe3d23-29ec-4241-a405-1b407b20a9ba,"Thomas, Raymond and Perez",wholesale,33,233.16,34579.51,1152.65,2025-09-21,2028-03-28,paid,ERP_BILLING_EXPORT
DEN-01,2026-05-10,1bc193e9-a12c-44de-8f30-f49138f1ccb3,"Young, Young and Anderson",cloud,3,11.5,5461.14,182.04,2025-07-03,2029-01-15,pending,ERP_BILLING_EXPORT
DEN-01,2026-05-10,e471e38b-3d64-4fbf-a14f-ccb4ed21f1fa,"Thomas, Raymond and Perez",wholesale,2,16.6,3111.34,103.71,2025-08-14,2026-07-24,paid,ERP_BILLING_EXPORT
PHX-01,2026-05-10,2b79a38d-0d33-49c8-a16d-b32f993374ff,"Blackwell, Howard and Smith",cloud,40,88.17,72255.62,2408.52,2023-12-24,2027-08-30,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,8bbd2b29-2f0f-413f-8ebf-67dae2467027,"Weber, Dean and Salazar",cloud,44,241.84,65600.78,2186.69,2024-10-08,2028-07-20,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,fb83a837-ff80-4cc2-a525-507f73fdb75d,"Weber, Dean and Salazar",cloud,5,12.41,4747.0,158.23,2025-12-15,2027-08-25,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,d93ed6be-4e29-4c51-a4cb-6038053afd86,"Blackwell, Howard and Smith",colocation,42,163.47,51993.03,1733.1,2024-03-08,2027-01-24,paid,ERP_BILLING_EXPORT
PHX-01,2026-05-10,21e31b08-b133-496e-97ed-11013b747459,Turner-Watson,colocation,44,312.58,84047.61,2801.59,2024-05-27,2029-03-07,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,ada95982-3cd7-40f1-9186-bca27957ff3d,"Patterson, Wilson and Tyler",wholesale,28,165.35,39685.99,1322.87,2024-12-27,2028-10-27,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,954cb1bc-b92f-42fe-b7e8-ab1a18dd612f,"Patterson, Wilson and Tyler",wholesale,19,106.28,33230.26,1107.68,2023-07-08,2028-07-30,overdue,ERP_BILLING_EXPORT
PHX-01,2026-05-10,142ec85c-2d2a-4206-906b-37d2a9ac0862,Nichols-Horn,cloud,40,150.16,50307.37,1676.91,2024-03-01,2029-01-26,paid,ERP_BILLING_EXPORT
PHX-01,2026-05-10,5b1ab994-eee6-4b53-849e-fcf59bf214e8,"Patterson, Wilson and Tyler",wholesale,46,179.2,84996.2,2833.21,2024-08-10,2028-02-09,pending,ERP_BILLING_EXPORT
PHX-01,2026-05-10,795b9f88-de47-4eb9-ae69-608a3ab24e97,Wade-York,colocation,6,37.98,12038.97,401.3,2023-08-17,2028-02-12,paid,ERP_BILLING_EXPORT
BOS-01,2026-05-10,1e1e27e3-3411-499f-b12b-9faf58931f5f,Turner-Watson,cloud,41,145.73,82458.19,2748.61,2024-11-29,2026-10-26,paid,ERP_BILLING_EXPORT
BOS-01,2026-05-10,032c3a82-b46c-4746-8eea-0768d9bfede0,"Maxwell, Harris and Brown",cloud,42,135.87,73913.17,2463.77,2025-12-10,2029-03-30,pending,ERP_BILLING_EXPORT
BOS-01,2026-05-10,09a7eacb-6ac5-4132-8bb0-21659ef084df,"Blackwell, Howard and Smith",wholesale,12,67.82,10148.46,338.28,2025-10-06,2028-10-05,overdue,ERP_BILLING_EXPORT
BOS-01,2026-05-10,61ac83f8-6ec4-4854-bc7a-a6511caed805,"Klein, Rosales and Williams",cloud,17,127.86,28190.96,939.7,2026-03-20,2028-10-28,paid,ERP_BILLING_EXPORT
BOS-01,2026-05-10,f0a1b1e9-58b2-4ad0-af32-dfc07f8322fd,"Young, Young and Anderson",colocation,43,301.45,85071.67,2835.72,2024-08-27,2026-06-29,pending,ERP_BILLING_EXPORT
BOS-01,2026-05-10,733e17b3-10fb-4552-b6fd-d1ad0e5f5d94,"Klein, Rosales and Williams",cloud,11,98.11,23174.81,772.49,2025-12-07,2027-05-29,pending,ERP_BILLING_EXPORT
BOS-01,2026-05-10,741f67fe-11cb-472c-867a-e3321ca61381,Kaufman-Kelley,wholesale,35,311.71,85864.43,2862.15,2025-08-18,2027-03-04,pending,ERP_BILLING_EXPORT
BOS-01,2026-05-10,b55320d1-8bfa-4574-bfd8-63b866d4e753,Ortiz-Koch,wholesale,10,79.67,16528.7,550.96,2025-02-25,2029-02-23,overdue,ERP_BILLING_EXPORT
BOS-01,2026-05-10,9d5a9ae9-87ab-4fd7-bd88-b5a9795c1e1d,"Thomas, Raymond and Perez",cloud,21,57.02,21560.69,718.69,2026-03-05,2026-11-25,pending,ERP_BILLING_EXPORT
BOS-01,2026-05-10,ef009495-df88-455e-9755-f8fd34c6d647,Nichols-Horn,cloud,37,185.68,88648.48,2954.95,2026-01-05,2029-04-21,paid,ERP_BILLING_EXPORT
HOU-01,2026-05-10,e90eab67-b3e4-47a0-8727-83d381683736,Mendez-Hopkins,cloud,25,246.64,24671.88,822.4,2024-08-15,2028-06-27,pending,ERP_BILLING_EXPORT
HOU-01,2026-05-10,0d09fbb5-32bf-47ec-ad27-ec3d2be3f2a1,Reeves-Campbell,cloud,13,126.67,20131.25,671.04,2024-05-09,2027-07-27,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,e74a5bd8-62fb-41bf-9556-35a071889cf4,"Klein, Rosales and Williams",wholesale,38,197.61,41742.43,1391.41,2023-06-11,2027-02-26,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,3ea79575-bfd3-45e4-aa6b-fdba18af214d,Johnson-Roberts,wholesale,10,60.64,17005.42,566.85,2023-09-25,2028-03-06,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,bba3e008-d2c6-42e7-b257-1ff76888d8d0,Blake-Walls,cloud,22,77.26,37808.64,1260.29,2026-03-10,2027-08-28,pending,ERP_BILLING_EXPORT
HOU-01,2026-05-10,e1495b85-8eeb-457b-9ad1-a9176a2924d4,Taylor PLC,cloud,49,385.12,102981.53,3432.72,2024-11-05,2026-07-17,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,4d8e4931-5b41-4b01-be20-34376976ea6c,"Patterson, Wilson and Tyler",wholesale,9,23.68,10687.91,356.26,2026-01-09,2027-07-15,paid,ERP_BILLING_EXPORT
HOU-01,2026-05-10,c67c1988-d65a-4f32-8ce9-b35a27d53189,"Klein, Rosales and Williams",cloud,23,87.87,27800.56,926.69,2023-07-11,2027-09-05,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,62eff5b3-4575-4831-bae6-cf323dbdcf0c,Martin Group,colocation,48,452.61,119017.59,3967.25,2026-04-03,2026-09-12,overdue,ERP_BILLING_EXPORT
HOU-01,2026-05-10,92201706-21cc-495e-b9b0-1d4bb05f27a5,Johnson-Roberts,cloud,34,96.25,50287.3,1676.24,2023-08-18,2027-08-13,pending,ERP_BILLING_EXPORT
